subjID,exptPart,trialNumber,roleCurrent,marblesSampled,asymm,probBullshitterRed,probBullshitDetectorRed,probGlobal,drawnRed,reportedDrawn,compLie,compUnifLie,compDetect,callBS,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,pseudoRound,trialTime
sona-29978,trial,86,bullshitDetector,10,True,0.2,0.5,0.21875,1,6,6,False,-1,True,5,-5,178,307,6358.792142788438,23191,How many red marbles did your opponent report drawing?,-1,-1,-1,False,30821
sona-29978,trial,87,bullshitter,10,True,0.8,0.5,0.78125,8,3,-1,False,0.048828125,False,3,7,181,314,2124.2723165616153,42147,How many red marbles did you actually draw?,8,7,5002,False,57481
sona-29978,trial,88,bullshitDetector,10,False,0.8,0.8,0.8,9,1,-1,True,0.048828125,False,9,1,190,315,5369.305209778997,10673,How many red marbles did you actually draw?,-1,-1,-1,False,17299
sona-29978,trial,89,bullshitter,10,True,0.8,0.5,0.78125,10,6,-1,False,0.705078125,True,-5,5,185,320,2965.885795252653,6232,How many red marbles did you actually draw?,-1,-1,-1,False,22498
sona-29978,trial,90,bullshitDetector,10,False,0.2,0.2,0.2,1,2,2,False,-1,False,8,2,193,322,7321.704847054024,35018,How many red marbles did you actually draw?,-1,-1,-1,False,43907
sona-29978,trial,91,bullshitter,10,True,0.2,0.8,0.2375,5,7,-1,False,0.1980101119999999,False,7,3,200,325,3134.73544822293,3863,How many red marbles did you actually draw?,-1,-1,-1,False,11748
sona-29978,trial,92,bullshitDetector,10,False,0.2,0.2,0.2,0,6,-1,False,0.1980101119999999,True,5,-5,205,320,5207.659810310015,19268,How many red marbles did you actually draw?,-1,-1,-1,True,25621
sona-29978,trial,93,bullshitter,10,False,0.5,0.5,0.5,6,6,-1,False,0.705078125,True,6,-1,211,319,2981.5546632548085,6822,How many red marbles did you actually draw?,-1,-1,-1,False,20640
sona-29978,trial,94,bullshitDetector,10,False,0.5,0.5,0.5,5,7,7,False,-1,False,3,7,214,326,6459.707316435797,62670,How many red marbles did you actually draw?,-1,-1,-1,False,70323
sona-29978,trial,95,bullshitter,10,False,0.5,0.5,0.5,4,9,-1,False,0.8759765625,True,-5,5,209,331,2963.8559343742663,92673,How many red marbles did you actually draw?,-1,-1,-1,False,99535
sona-29978,trial,96,bullshitDetector,10,True,0.5,0.2,0.48125,4,4,3,False,-1,False,6,4,215,335,6401.799157796067,2881,How many red marbles did you actually draw?,-1,-1,-1,False,10377
sona-29978,trial,97,bullshitter,10,True,0.2,0.8,0.2375,3,4,-1,False,-0.11782097919999997,False,4,6,219,341,2477.5901379160828,5457,How many red marbles did you actually draw?,-1,-1,-1,False,19256
sona-29978,trial,98,bullshitDetector,10,True,0.5,0.8,0.51875,7,7,7,False,-1,True,-2,7,217,348,6174.700424398072,27552,How many red marbles did you actually draw?,-1,-1,-1,False,34984
sona-29978,trial,99,bullshitter,10,True,0.2,0.8,0.2375,0,7,-1,False,0.1980101119999999,False,7,3,224,351,2522.0775693453616,5275,How many red marbles did you actually draw?,-1,-1,-1,False,12351
